Id,Name,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,HealthCloudGA__Active__c,HealthCloudGA__ConditionCode__c,HealthCloudGA__HCCCode__c,HealthCloudGA__ValidFrom__c,HealthCloudGA__ValidThrough__c,HealthCloudGA__YearConditionCodeHCCCode__c
a0x3h000000vRgRAAU,Map-203,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8211,HCC10,2014,,C8211HCC102014
a0x3h000000vRgSAAU,Map-204,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8212,HCC10,2014,,C8212HCC102014
a0x3h000000vRgTAAU,Map-205,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8213,HCC10,2014,,C8213HCC102014
a0x3h000000vRgUAAU,Map-206,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8214,HCC10,2014,,C8214HCC102014
a0x3h000000vRgVAAU,Map-207,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8215,HCC10,2014,,C8215HCC102014
a0x3h000000vRgWAAU,Map-208,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8216,HCC10,2014,,C8216HCC102014
a0x3h000000vRgXAAU,Map-209,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8217,HCC10,2014,,C8217HCC102014
a0x3h000000vRgYAAU,Map-210,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8218,HCC10,2014,,C8218HCC102014
a0x3h000000vRgZAAU,Map-211,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8219,HCC10,2014,,C8219HCC102014
a0x3h000000vRgaAAE,Map-212,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8220,HCC10,2014,,C8220HCC102014
a0x3h000000vRgbAAE,Map-213,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8221,HCC10,2014,,C8221HCC102014
a0x3h000000vRgcAAE,Map-214,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8222,HCC10,2014,,C8222HCC102014
a0x3h000000vRgdAAE,Map-215,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8223,HCC10,2014,,C8223HCC102014
a0x3h000000vRgeAAE,Map-216,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8224,HCC10,2014,,C8224HCC102014
a0x3h000000vRgfAAE,Map-217,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8225,HCC10,2014,,C8225HCC102014
a0x3h000000vRggAAE,Map-218,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8226,HCC10,2014,,C8226HCC102014
a0x3h000000vRghAAE,Map-219,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8227,HCC10,2014,,C8227HCC102014
a0x3h000000vRgiAAE,Map-220,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8228,HCC10,2014,,C8228HCC102014
a0x3h000000vRgjAAE,Map-221,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8229,HCC10,2014,,C8229HCC102014
a0x3h000000vRgkAAE,Map-222,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8230,HCC10,2014,,C8230HCC102014
a0x3h000000vRglAAE,Map-223,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8231,HCC10,2014,,C8231HCC102014
a0x3h000000vRgmAAE,Map-224,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8232,HCC10,2014,,C8232HCC102014
